# id	rel_path	reason	detail
bevy	assets/shaders/custom_clustered_decal.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/custom_gltf_2d.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/custom_material_2d.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/custom_ui_material.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/irradiance_volume_voxel_visualization.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/show_prepass.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/single_mip_level.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	assets/shaders/texture_binding_array.wgsl	compose_naga_invalid	Composed source is rejected by Naga under the current standalone validator context.
bevy	assets/shaders/water_material.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_core_pipeline/src/mip_generation/downsample.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_core_pipeline/src/tonemapping/lut_bindings.wgsl	compose_naga_invalid	Composed source is rejected by Naga under the current standalone validator context.
bevy	crates/bevy_pbr/src/cluster/cluster_raster.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/decal/forward_decal.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/deferred/deferred_lighting.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/light_probe/environment_map.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/cull_bvh.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/cull_clusters.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/cull_instances.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/meshlet_cull_shared.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/meshlet_mesh_material.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/visibility_buffer_hardware_raster.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/meshlet/visibility_buffer_software_raster.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/ssr/raymarch.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
bevy	crates/bevy_pbr/src/ssr/ssr.wgsl	compose_failed	Composer could not materialize a standalone shader under the current fixture/profile; this is tracked as a follow-up coverage item.
learn-wgpu	code/compute/src/filter.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/binding-arrays.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/binding-buffer-arrays.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/bits.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/dualsource.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/extra.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/multiview.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/multiview_webgl.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/pointers.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/push-constants.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/ray-query.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/shadow.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/in/skybox.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/800-out-of-bounds-panic.vert.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/896-push-constant.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/binding-arrays.dynamic.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/binding-arrays.static.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/binding-arrays.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/binding-buffer-arrays.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/bits.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/bits_glsl.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
