# builtin	category	corpus_id	required_stage	token	notes
abs	numeric	ir-builtin-numeric-fragment	naga-ir	abs	Official numeric builtin covered by IR roundtrip plus Naga validation.
acos	numeric	ir-builtin-numeric-fragment	naga-ir	acos	Official numeric builtin covered by IR roundtrip plus Naga validation.
acosh	numeric	ir-builtin-numeric-fragment	naga-ir	acosh	Official numeric builtin covered by IR roundtrip plus Naga validation.
all	relational	ir-builtin-numeric-fragment	naga-ir	all	Official relational builtin covered by IR roundtrip plus Naga validation.
any	relational	ir-builtin-numeric-fragment	naga-ir	any	Official relational builtin covered by IR roundtrip plus Naga validation.
asin	numeric	ir-builtin-numeric-fragment	naga-ir	asin	Official numeric builtin covered by IR roundtrip plus Naga validation.
asinh	numeric	ir-builtin-numeric-fragment	naga-ir	asinh	Official numeric builtin covered by IR roundtrip plus Naga validation.
atan	numeric	ir-builtin-numeric-fragment	naga-ir	atan	Official numeric builtin covered by IR roundtrip plus Naga validation.
atan2	numeric	ir-builtin-numeric-fragment	naga-ir	atan2	Official numeric builtin covered by IR roundtrip plus Naga validation.
atanh	numeric	ir-builtin-numeric-fragment	naga-ir	atanh	Official numeric builtin covered by IR roundtrip plus Naga validation.
atomicAdd	atomic	ir-builtin-atomic-barrier-compute	naga-ir	atomicAdd	Official atomic builtin covered by IR roundtrip plus Naga validation.
atomicAnd	atomic	ir-builtin-atomic-barrier-compute	naga-ir	atomicAnd	Official atomic builtin covered by IR roundtrip plus Naga validation.
atomicCompareExchangeWeak	atomic	ir-builtin-atomic-barrier-compute	naga-ir	atomicCompareExchangeWeak	Official atomic builtin covered by IR roundtrip plus Naga validation.
atomicExchange	atomic	ir-builtin-atomic-barrier-compute	naga-ir	atomicExchange	Official atomic builtin covered by IR roundtrip plus Naga validation.
atomicLoad	atomic	ir-builtin-atomic-barrier-compute	naga-ir	atomicLoad	Official atomic builtin covered by IR roundtrip plus Naga validation.
